Driver,Vehicle,Assignment Date,Assignment Time,Notes
L05-00-000102,MCX 954,9/11/2007,17:54:12,got at a 90% discount
L11-18-125752,NLA 727,12/22/2017,23:37:37,bitlot
L00-01-111111,PT 5233,5/22/2019,23:39:25,blip blop
L01-01-222333,ARA 501,2/2/2018,00:11:59,so guud
L12-31-001221,NDC 1844,10/6/2019,10:30:49, 
L22-22-222222,MCT 1250,7/11/2017,22:59:12, 
L01-00-545444,PET 212,1/2/2018,22:59:35,XD
L10-05-001500,LAA 4581,10/6/2019,23:01:53, 
L00-10-121201,ABO 3087,10/9/2019,17:42:05,poot poot
L01-91-544332,BEP 515,12/25/2018,17:43:09,boom boom
L21-32-323232,MCT 956,10/9/2019,18:12:49,wawawa
L22-55-999999,BFT 111,10/9/2019,18:18:00, 
L55-12-345678,REM 256,10/9/2019,18:31:50, 
L12-01-954622,ZED 1596,10/9/2019,18:36:18,waw!
L11-18-000637,NDE 7157,10/9/2019,19:02:59,wak
L11-18-000638,FJF 178,10/10/2019,12:20:16, 
L10-05-001500,BUG 817,10/10/2019,12:23:19,zuccccccc
